Date,Open,High,Low,Close,Adj Close,Volume
2021-03-15,394.329987,396.690002,392.029999,396.410004,384.950317,73427200
2021-03-16,397.070007,397.829987,395.079987,395.910004,384.464722,73722500
2021-03-17,394.529999,398.119995,393.299988,397.260010,385.775726,97959300
2021-03-18,394.480011,396.720001,390.750000,391.480011,380.162842,115349100
2021-03-19,389.880005,391.570007,387.149994,389.480011,379.459412,113624500
2021-03-22,390.029999,394.070007,389.970001,392.589996,382.489380,73778600
2021-03-23,391.910004,393.459991,388.660004,389.500000,379.478851,90686600
2021-03-24,391.000000,392.750000,387.470001,387.519989,377.549744,97588600
2021-03-25,385.980011,390.549988,383.899994,389.700012,379.673737,116128600
2021-03-26,390.929993,396.410004,390.290009,395.980011,385.792206,114409100
2021-03-29,394.399994,396.750000,392.809998,395.779999,385.597260,108107600
2021-03-30,394.420013,395.450012,393.019989,394.730011,384.574280,76262200
2021-03-31,395.339996,398.000000,395.309998,396.329987,386.133118,112734200
2021-04-01,398.399994,400.670013,398.179993,400.609985,390.303009,99682900
2021-04-05,403.459991,406.940002,403.380005,406.359985,395.905060,91684800
2021-04-06,405.760010,407.239990,405.399994,406.119995,395.671265,62021000
2021-04-07,405.940002,406.959991,405.450012,406.589996,396.129150,55836300
2021-04-08,407.929993,408.579987,406.929993,408.519989,398.009491,57863100
2021-04-09,408.390015,411.670013,408.260010,411.489990,400.903107,61104600
2021-04-12,410.850006,411.929993,410.200012,411.640015,401.049255,56704900
2021-04-13,411.529999,413.529999,411.119995,412.859985,402.237823,56551000
2021-04-14,412.829987,413.959991,410.869995,411.450012,400.864105,61659900
2021-04-15,413.739990,416.160004,413.690002,415.869995,405.170349,60229800
2021-04-16,417.250000,417.910004,415.730011,417.260010,406.524658,82037300
2021-04-19,416.260010,416.739990,413.790009,415.209991,404.527344,78498500
2021-04-20,413.910004,415.089996,410.589996,412.170013,401.565582,81851800
2021-04-21,411.510010,416.290009,411.359985,416.070007,405.365265,66793000
2021-04-22,415.890015,416.779999,411.130005,412.269989,401.662994,97582800
2021-04-23,412.869995,418.250000,412.790009,416.739990,406.018005,73209200
2021-04-26,417.440002,418.220001,416.809998,417.609985,406.865601,52182400
2021-04-27,417.929993,418.140015,416.299988,417.519989,406.777924,51303100
2021-04-28,417.809998,419.010010,416.899994,417.399994,406.661011,51238900
2021-04-29,420.320007,420.720001,416.440002,420.059998,409.252625,78544300
2021-04-30,417.630005,418.540009,416.339996,417.299988,406.563599,85527000
2021-05-03,419.429993,419.839996,417.670013,418.200012,407.440430,68128300
2021-05-04,416.070007,416.600006,411.670013,415.619995,404.926849,101591200
2021-05-05,417.380005,417.630005,415.149994,415.750000,405.053497,60162200
2021-05-06,415.829987,419.209991,413.679993,419.070007,408.288025,74321400
2021-05-07,419.890015,422.820007,419.160004,422.119995,411.259613,67733800
2021-05-10,422.500000,422.739990,417.809998,417.940002,407.187134,81852400
2021-05-11,413.100006,415.269989,410.059998,414.209991,403.553131,116888000
2021-05-12,411.230011,412.589996,404.000000,405.410004,394.979523,134811000
2021-05-13,407.070007,412.350006,407.019989,410.279999,399.724213,106394000
2021-05-14,413.209991,417.489990,413.179993,416.579987,405.862122,82201600
2021-05-17,415.390015,416.390015,413.359985,415.519989,404.829407,65129200
2021-05-18,415.799988,416.059998,411.769989,411.940002,401.341522,59810200
2021-05-19,406.920013,411.049988,405.329987,410.859985,400.289276,106467100
2021-05-20,411.799988,416.630005,411.670013,415.279999,404.595581,78022200
2021-05-21,416.869995,418.200012,414.450012,414.940002,404.264343,76578700
2021-05-24,417.339996,420.320007,417.079987,419.170013,408.385529,51376700
2021-05-25,420.329987,420.709991,417.619995,418.239990,407.479431,57451400
2021-05-26,418.869995,419.609985,417.760010,419.070007,408.288025,43088600
2021-05-27,420.170013,420.720001,418.989990,419.290009,408.502411,56707700
2021-05-28,420.970001,421.250000,419.790009,420.040009,409.233093,58520200
2021-06-01,422.570007,422.720001,419.200012,419.670013,408.872681,54216600
2021-06-02,420.369995,421.230011,419.290009,420.329987,409.515656,49097100
2021-06-03,417.850006,419.989990,416.279999,418.769989,407.995789,58138800
2021-06-04,420.750000,422.920013,418.839996,422.600006,411.727234,55938800
2021-06-07,422.589996,422.779999,421.190002,422.190002,411.327820,51555000
2021-06-08,423.109985,423.209991,420.320007,422.279999,411.415497,47134300
2021-06-09,423.179993,423.260010,421.410004,421.649994,410.801666,48436300
2021-06-10,422.959991,424.630005,421.549988,423.609985,412.711243,51020100
2021-06-11,424.200012,424.429993,422.820007,424.309998,413.393250,45570800
2021-06-14,424.429993,425.369995,423.100006,425.260010,414.318817,42358500
2021-06-15,425.420013,425.459991,423.540009,424.480011,413.558868,51508500
2021-06-16,424.630005,424.869995,419.920013,422.109985,411.249847,80386100
2021-06-17,421.670013,423.019989,419.320007,421.970001,411.113464,90949700
2021-06-18,417.089996,417.829987,414.700012,414.920013,405.567383,118676300
2021-06-21,416.799988,421.059998,415.929993,420.859985,411.373444,72822000
2021-06-22,420.850006,424.000000,420.079987,423.109985,413.572754,57700300
2021-06-23,423.190002,424.049988,422.510010,422.600006,413.074219,49445400
2021-06-24,424.890015,425.549988,424.619995,425.100006,415.517914,45110300
2021-06-25,425.899994,427.089996,425.549988,426.609985,416.993835,58129500
2021-06-28,427.170013,427.649994,425.890015,427.470001,417.834503,53159600
2021-06-29,427.880005,428.559998,427.130005,427.700012,418.059296,35970500
2021-06-30,427.209991,428.779999,427.179993,428.059998,418.411194,64827900
2021-07-01,428.869995,430.600006,428.799988,430.429993,420.727753,53441000
2021-07-02,431.670013,434.100006,430.519989,433.720001,423.943573,57697700
2021-07-06,433.779999,434.010010,430.010010,432.929993,423.171417,68710400
2021-07-07,433.660004,434.760010,431.510010,434.459991,424.666931,63549500
2021-07-08,428.779999,431.730011,427.519989,430.920013,421.206726,97595200
2021-07-09,432.529999,435.839996,430.709991,435.519989,425.703033,76238600
2021-07-12,435.429993,437.350006,434.970001,437.079987,427.227844,52889600
2021-07-13,436.239990,437.839996,435.309998,435.589996,425.771484,52911300
2021-07-14,437.399994,437.920013,434.910004,436.239990,426.406799,64130400
2021-07-15,434.809998,435.529999,432.720001,434.750000,424.950378,55126400
2021-07-16,436.010010,436.059998,430.920013,431.339996,421.617249,75874700
2021-07-19,426.190002,431.410004,421.970001,424.970001,415.390839,147987000
2021-07-20,425.679993,432.420013,424.829987,431.059998,421.343567,99608200
2021-07-21,432.339996,434.700012,431.010010,434.549988,424.754913,64724400
2021-07-22,434.739990,435.720001,433.690002,435.459991,425.644348,47878500
2021-07-23,437.519989,440.299988,436.790009,439.940002,430.023376,63766600
2021-07-26,439.309998,441.029999,439.260010,441.019989,431.079041,43719200
2021-07-27,439.910004,439.940002,435.989990,439.010010,429.114380,67397100
2021-07-28,439.679993,440.299988,437.309998,438.829987,428.938416,52472400
2021-07-29,439.820007,441.799988,439.809998,440.649994,430.717377,47435300
2021-07-30,437.910004,440.059998,437.769989,438.510010,428.625610,68951200
2021-08-02,440.339996,440.929993,437.209991,437.589996,427.726349,58783300
